group1,group2,meandiff,p-adj,lower,upper,reject
baseline,cautious,0.0039,0.9936,-0.0075,0.0154,False
baseline,creative,0.0079,0.5123,-0.0036,0.0194,False
baseline,empathic,0.0099,0.168,-0.0015,0.0214,False
baseline,euphoric,0.0152,0.0009,0.0038,0.0267,True
baseline,high_adrenaline,-0.0303,0.0,-0.0417,-0.0188,True
baseline,high_cortisol,0.0036,0.9974,-0.0079,0.015,False
baseline,high_dopamine,0.0109,0.0798,-0.0006,0.0224,False
baseline,high_oxytocin,-0.0028,0.9997,-0.0143,0.0087,False
baseline,high_serotonin,0.0006,1.0,-0.0109,0.0121,False
baseline,stable,0.0082,0.452,-0.0033,0.0197,False
baseline,stressed,-0.0089,0.321,-0.0204,0.0026,False
cautious,creative,0.004,0.9982,-0.0093,0.0172,False
cautious,empathic,0.006,0.947,-0.0073,0.0192,False
cautious,euphoric,0.0113,0.1867,-0.002,0.0245,False
cautious,high_adrenaline,-0.0342,0.0,-0.0475,-0.021,True
cautious,high_cortisol,-0.0004,1.0,-0.0136,0.0129,False
cautious,high_dopamine,0.007,0.8584,-0.0063,0.0202,False
cautious,high_oxytocin,-0.0067,0.884,-0.02,0.0065,False
cautious,high_serotonin,-0.0034,0.9996,-0.0166,0.0099,False
cautious,stable,0.0042,0.9966,-0.009,0.0175,False
cautious,stressed,-0.0128,0.0685,-0.0261,0.0004,False
creative,empathic,0.002,1.0,-0.0112,0.0153,False
creative,euphoric,0.0073,0.8127,-0.0059,0.0206,False
creative,high_adrenaline,-0.0382,0.0,-0.0514,-0.0249,True
creative,high_cortisol,-0.0043,0.9958,-0.0176,0.0089,False
creative,high_dopamine,0.003,0.9999,-0.0102,0.0163,False
creative,high_oxytocin,-0.0107,0.2577,-0.0239,0.0026,False
creative,high_serotonin,-0.0073,0.8157,-0.0206,0.0059,False
creative,stable,0.0003,1.0,-0.013,0.0135,False
creative,stressed,-0.0168,0.0021,-0.03,-0.0035,True
empathic,euphoric,0.0053,0.9781,-0.0079,0.0186,False
empathic,high_adrenaline,-0.0402,0.0,-0.0534,-0.0269,True
empathic,high_cortisol,-0.0064,0.9186,-0.0196,0.0069,False
empathic,high_dopamine,0.001,1.0,-0.0123,0.0142,False
empathic,high_oxytocin,-0.0127,0.0736,-0.026,0.0005,False
empathic,high_serotonin,-0.0093,0.4725,-0.0226,0.0039,False
empathic,stable,-0.0017,1.0,-0.015,0.0115,False
empathic,stressed,-0.0188,0.0002,-0.0321,-0.0056,True
euphoric,high_adrenaline,-0.0455,0.0,-0.0587,-0.0322,True
euphoric,high_cortisol,-0.0117,0.1477,-0.0249,0.0016,False
euphoric,high_dopamine,-0.0043,0.9961,-0.0176,0.0089,False
euphoric,high_oxytocin,-0.018,0.0006,-0.0313,-0.0048,True
euphoric,high_serotonin,-0.0146,0.016,-0.0279,-0.0014,True
euphoric,stable,-0.007,0.8506,-0.0203,0.0062,False
euphoric,stressed,-0.0241,0.0,-0.0374,-0.0109,True
high_adrenaline,high_cortisol,0.0338,0.0,0.0206,0.0471,True
high_adrenaline,high_dopamine,0.0412,0.0,0.0279,0.0544,True
high_adrenaline,high_oxytocin,0.0275,0.0,0.0142,0.0407,True
high_adrenaline,high_serotonin,0.0309,0.0,0.0176,0.0441,True
high_adrenaline,stable,0.0385,0.0,0.0252,0.0517,True
high_adrenaline,stressed,0.0214,0.0,0.0081,0.0346,True
high_cortisol,high_dopamine,0.0074,0.8079,-0.0059,0.0206,False
high_cortisol,high_oxytocin,-0.0064,0.9205,-0.0196,0.0069,False
high_cortisol,high_serotonin,-0.003,0.9999,-0.0162,0.0103,False
high_cortisol,stable,0.0046,0.9926,-0.0086,0.0179,False
high_cortisol,stressed,-0.0124,0.0903,-0.0257,0.0008,False
high_dopamine,high_oxytocin,-0.0137,0.0347,-0.027,-0.0005,True
high_dopamine,high_serotonin,-0.0103,0.3086,-0.0236,0.0029,False
high_dopamine,stable,-0.0027,0.9999,-0.016,0.0105,False
high_dopamine,stressed,-0.0198,0.0001,-0.033,-0.0065,True
high_oxytocin,high_serotonin,0.0034,0.9996,-0.0099,0.0166,False
high_oxytocin,stable,0.011,0.2205,-0.0023,0.0242,False
high_oxytocin,stressed,-0.0061,0.9406,-0.0193,0.0072,False
high_serotonin,stable,0.0076,0.7737,-0.0056,0.0209,False
high_serotonin,stressed,-0.0095,0.4507,-0.0227,0.0038,False
stable,stressed,-0.0171,0.0016,-0.0303,-0.0038,True
