group1,group2,meandiff,p-adj,lower,upper,reject
baseline,cautious,-2.3907,1.0,-41.8259,37.0445,False
baseline,creative,6.7705,1.0,-32.6647,46.2057,False
baseline,creative_dynamic,701.0662,0.0,653.671,748.4615,True
baseline,creative_static,20.1038,0.9919,-27.2914,67.4991,False
baseline,empathic,3.3278,1.0,-36.1074,42.7631,False
baseline,empathic_dynamic,326.2485,0.0,278.8533,373.6437,True
baseline,empathic_static,18.1936,0.9974,-29.2017,65.5888,False
baseline,euphoric,11.4021,0.9999,-28.0331,50.8373,False
baseline,high_adrenaline,-4.873,1.0,-44.3083,34.5622,False
baseline,high_cortisol,-1.8346,1.0,-41.2698,37.6006,False
baseline,high_dopamine,3.6964,1.0,-35.7388,43.1316,False
baseline,high_oxytocin,0.2248,1.0,-39.2104,39.66,False
baseline,high_serotonin,3.2706,1.0,-36.1647,42.7058,False
baseline,neutral_dynamic,118.4094,0.0,71.0141,165.8046,True
baseline,neutral_static,16.5828,0.9992,-30.8124,63.9781,False
baseline,stable,4.2106,1.0,-35.2246,43.6458,False
baseline,stressed,-4.7999,1.0,-44.2351,34.6353,False
cautious,creative,9.1612,1.0,-36.3747,54.6971,False
cautious,creative_dynamic,703.4569,0.0,650.8766,756.0372,True
cautious,creative_static,22.4945,0.9911,-30.0858,75.0748,False
cautious,empathic,5.7185,1.0,-39.8173,51.2544,False
cautious,empathic_dynamic,328.6392,0.0,276.0589,381.2195,True
cautious,empathic_static,20.5843,0.9968,-31.996,73.1645,False
cautious,euphoric,13.7928,0.9999,-31.7431,59.3286,False
cautious,high_adrenaline,-2.4823,1.0,-48.0182,43.0535,False
cautious,high_cortisol,0.5561,1.0,-44.9797,46.092,False
cautious,high_dopamine,6.0871,1.0,-39.4488,51.623,False
cautious,high_oxytocin,2.6155,1.0,-42.9204,48.1514,False
cautious,high_serotonin,5.6613,1.0,-39.8746,51.1971,False
cautious,neutral_dynamic,120.8001,0.0,68.2198,173.3803,True
cautious,neutral_static,18.9735,0.9988,-33.6067,71.5538,False
cautious,stable,6.6013,1.0,-38.9346,52.1371,False
cautious,stressed,-2.4092,1.0,-47.9451,43.1267,False
creative,creative_dynamic,694.2957,0.0,641.7154,746.876,True
creative,creative_static,13.3333,1.0,-39.247,65.9136,False
