,count,unique,top,freq,mean,std,min,25%,50%,75%,max
experiment,2600,2,phase2,1400,,,,,,,
prompt,2600,40,I'm feeling anxious about my future and don't know what to do.,65,,,,,,,
profile_name,2600,12,baseline,400,,,,,,,
generated_text,2600,2589,Write a short story about a robot learning to feel emotions.,4,,,,,,,
generation_idx,2600.0,,,,2.0,1.4144856049960546,0.0,1.0,2.0,3.0,4.0
length,2600.0,,,,58.11769230769231,10.308701617171593,8.0,56.0,60.0,63.0,78.0
distinct_1,2600.0,,,,0.7796451683645474,0.08007980889851007,0.4545454545454545,0.7316163087004004,0.7857142857142857,0.8305084745762712,1.0
distinct_2,2600.0,,,,0.970379410341479,0.041901607636618037,0.5555555555555556,0.9583333333333334,0.9830508474576272,1.0,1.0
distinct_3,2600.0,,,,0.9921322153439441,0.027921350666664266,0.5645161290322581,1.0,1.0,1.0,1.0
repetition_rate,2600.0,,,,0.007867784656055893,0.02792135066666398,0.0,0.0,0.0,0.0,0.4354838709677419
sentiment_polarity,2600.0,,,,0.1445092716366727,0.20423231153796234,-1.0,0.0,0.1285714285714285,0.25717532467532467,1.0
sentiment_subjectivity,2600.0,,,,0.4844427726117098,0.18870602564400035,0.0,0.3666666666666667,0.4901388888888889,0.6000000000000001,1.0
perplexity,2600.0,,,,18.14726415716685,7.978865051754263,2.022778272628784,12.799495220184326,16.868728637695312,21.64739370346069,132.49200439453125
rouge_l,2600.0,,,,0.3300607938358519,0.11354467448145478,0.123076923076923,0.2777777777777777,0.3055555555555556,0.3544303797468354,1.0
entropy,2600.0,,,,3.6095213482013118,0.3595800525447062,0.9116753339767456,3.3757731914520264,3.5994943380355835,3.824618339538574,5.466969013214111
prompt_category,0,0,,,,,,,,,
semantic_activation_empathy,0.0,,,,,,,,,,
condition,0,0,,,,,,,,,
