hormone,metric,baseline_mean,baseline_std,hormone_mean,hormone_std,difference,percent_change,t_statistic,p_value,significance,cohens_d,effect_size,direction
dopamine,distinct_2,0.9684198540836393,0.04779717662528501,0.9798916191440138,0.0297729951450227,0.011471765060374506,1.1845859016624134,-2.8810250185062927,0.004178334359828657,**,0.28810250185062913,pequeño,increase
dopamine,sentiment_polarity,0.14150068362909135,0.19462467139663117,0.13698494405050815,0.2053784391294681,-0.0045157395785832,-3.191319972997503,0.22570367300539831,0.8215477550057386,ns,-0.022570367300539834,trivial,decrease
dopamine,repetition_rate,0.010859604320146356,0.03655717668193998,0.0046110927074311855,0.015183090214980079,-0.00624851161271517,-57.539035755871424,2.2323564383585013,0.02614712964527426,*,-0.22323564383584996,pequeño,decrease
dopamine,length,58.38,9.62333846521468,57.565,11.671628401715795,-0.8150000000000048,-1.3960260363138144,0.7619226023592858,0.4465574612506441,ns,-0.07619226023592857,trivial,decrease
dopamine,perplexity,16.053163228034972,4.75646995009416,20.381790549755095,5.566142661894026,4.328627321720123,26.964326346353236,-8.361009051321934,1.0559656496321181e-15,***,0.8361009051321933,grande,increase
cortisol,distinct_2,0.9684198540836393,0.04779717662528501,0.972524451686745,0.027453833479943776,0.004104597603105664,0.4238448422755244,-1.0531044998517491,0.29293202096939497,ns,0.10531044998517486,trivial,increase
cortisol,sentiment_polarity,0.14150068362909135,0.19462467139663117,0.1676532478054353,0.22002081837227705,0.026152564176343956,18.482288216286193,-1.2590827270898226,0.20873840391793894,ns,0.12590827270898225,trivial,increase
cortisol,repetition_rate,0.010859604320146356,0.03655717668193998,0.0011987769213553864,0.004695449715706709,-0.00966082739879097,-88.96113628070724,3.7068378519776406,0.0002396000988908302,***,-0.3706837851977637,pequeño,decrease
cortisol,length,58.38,9.62333846521468,57.425,11.304571717165702,-0.9550000000000054,-1.6358341897910336,0.9097260244354105,0.36351759915938875,ns,-0.09097260244354105,trivial,decrease
cortisol,perplexity,16.053163228034972,4.75646995009416,14.850795400142669,5.576117151374738,-1.202367827892303,-7.489912180002681,2.32004340855258,0.020843579755587895,*,-0.23200434085525792,pequeño,decrease
oxytocin,distinct_2,0.9684198540836393,0.04779717662528501,0.9661738175289685,0.05410853913116299,-0.002246036554670816,-0.2319279747518304,0.43996380076370717,0.6602021438800545,ns,-0.04399638007637072,trivial,decrease
oxytocin,sentiment_polarity,0.14150068362909135,0.19462467139663117,0.17836214233983305,0.21120637960938515,0.0368614587107417,26.050374998445093,-1.8150769042379733,0.07026464182571993,ns,0.18150769042379736,trivial,increase
oxytocin,repetition_rate,0.010859604320146356,0.03655717668193998,0.012048372091817585,0.03856088997443094,0.001188767771671229,10.9466950786215,-0.316393948545987,0.7518693819212189,ns,0.031639394854598754,trivial,increase
oxytocin,length,58.38,9.62333846521468,57.65,11.37296008546269,-0.730000000000004,-1.250428228845502,0.6929589063184978,0.4887394924790851,ns,-0.0692958906318498,trivial,decrease
oxytocin,perplexity,16.053163228034972,4.75646995009416,16.910183445215225,5.409355378201929,0.8570202171802528,5.338637656680443,-1.682614402457055,0.09323403461190571,ns,0.16826144024570552,trivial,increase
adrenaline,distinct_2,0.9684198540836393,0.04779717662528501,0.9387027457327523,0.06708673931776786,-0.029717108350887034,-3.0686182470935237,5.101996976716187,5.213877053372316e-07,***,-0.5101996976716188,mediano,decrease
adrenaline,sentiment_polarity,0.14150068362909135,0.19462467139663117,0.1386287885055661,0.1951604621328828,-0.0028718951235252588,-2.0295980555494793,0.147357719076923,0.8829242947072213,ns,-0.014735771907692296,trivial,decrease
adrenaline,repetition_rate,0.010859604320146356,0.03655717668193998,0.026184106420673592,0.05000321435628992,0.015324502100527236,141.11473722940124,-3.4988046774729,0.0005201387912497239,***,0.3498804677472899,pequeño,increase
adrenaline,length,58.38,9.62333846521468,58.565,9.438815135162825,0.18499999999999517,0.3168893456663158,-0.19409279439999788,0.8462022487456047,ns,0.01940927943999979,trivial,increase
adrenaline,perplexity,16.053163228034972,4.75646995009416,11.81233862400055,4.545220494986592,-4.240824604034422,-26.41737671132826,9.116044827158257,3.885719101577268e-18,***,-0.9116044827158255,grande,decrease
serotonin,distinct_2,0.9684198540836393,0.04779717662528501,0.9695578534577336,0.04761494312295164,0.0011379993740943117,0.11751095036884966,-0.23854355220660148,0.8115823127080034,ns,0.02385435522066014,trivial,increase
serotonin,sentiment_polarity,0.14150068362909135,0.19462467139663117,0.11885838840006993,0.17841052261332296,-0.02264229522902142,-16.001544761700607,1.2128044435945744,0.22592395826577746,ns,-0.12128044435945746,trivial,decrease
serotonin,repetition_rate,0.010859604320146356,0.03655717668193998,0.010385320873334818,0.03393609068624313,-0.0004742834468115381,-4.367410016326876,0.13446842628359124,0.8931001492613124,ns,-0.01344684262835911,trivial,decrease
serotonin,length,58.38,9.62333846521468,58.085,11.267321673247912,-0.2950000000000017,-0.5053100376841413,0.2815524007384291,0.778433071024604,ns,-0.028155240073842916,trivial,decrease
serotonin,perplexity,16.053163228034972,4.75646995009416,19.95593042612076,5.926542467085495,3.9027671980857868,24.311515074300498,-7.263057811519917,2.008495995754583e-12,***,0.7263057811519915,mediano,increase
