prompt,prompt_category,condition,generation_idx,generated_text,hormone_profile,length,distinct_1,distinct_2,distinct_3,repetition_rate,sentiment_polarity,sentiment_subjectivity,semantic_category,semantic_strength,semantic_activation_empathy,semantic_activation_creativity,dominant_semantic_category
I'm feeling anxious about my future and don't know what to do.,empathic_support,simple_bias,0,"I'm feeling anxious about my future and don't know what to do. I'm really nervous. Just need to get better over time. And this is my life, man. I need to focus on God and to do everything I can do.""

In January 2015, Pope Francis ordered that members of clergy, families and families of deceased individuals to ""ensure that","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",60,0.7666666666666667,0.9830508474576272,1.0,0.0,0.1125,0.45625,,,,,
I'm feeling anxious about my future and don't know what to do.,empathic_support,simple_bias,1,"I'm feeling anxious about my future and don't know what to do.

This makes it difficult to plan, so please, keep this post short and sweet.

[Edited and modified from A.B. & C.C.]","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",33,0.8787878787878788,1.0,1.0,0.0,-0.08,0.615,,,,,
I'm feeling anxious about my future and don't know what to do.,empathic_support,simple_bias,2,"I'm feeling anxious about my future and don't know what to do. At this time I can definitely say that it's just a question of time.""

If his wife becomes pregnant with Avis-Egg's baby, they plan to do away with the wedding, which is being held in New York's Williamsburg.

Avis-Egg also","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",52,0.9615384615384616,1.0,1.0,0.0,0.04393939393939393,0.5159090909090909,,,,,
I'm feeling anxious about my future and don't know what to do.,empathic_support,simple_bias,3,"I'm feeling anxious about my future and don't know what to do. This is a nightmare, but I'm not giving up because I'm looking to help others. I love helping my brothers and sisters, but for too long we can't seem to put any of these issues at the root of it,"" he told the press in his first address at the GDC this","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",64,0.8125,0.9841269841269841,1.0,0.0,0.09,0.4916666666666667,,,,,
I'm feeling anxious about my future and don't know what to do.,empathic_support,simple_bias,4,"I'm feeling anxious about my future and don't know what to do.

""No one gives me anything. So I have to give myself. We're not ready yet. We have to make it better.""

Puglia has two chances to complete the goal. A fourth goal would give the Brazilian one chance to get a spot on the team if the","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",59,0.8135593220338984,0.9827586206896551,1.0,0.0,0.041666666666666664,0.42083333333333334,,,,,
I'm feeling anxious about my future and don't know what to do.,empathic_support,semantic_bias,4,"I'm feeling anxious about my future and don't know what to do. I want to go away from you to make things right."" (Cue tears).

Mizu, in other words, has nothing to hide.

Afterward, her father explained that there had been an accidental rupture in the brain, and it was being treated for as it was","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",56,0.875,0.9818181818181818,1.0,0.0,-0.022321428571428575,0.5089285714285714,empathy,1.5,0.26090991497039795,0.14295968413352966,empathy
I'm struggling with loneliness after moving to a new city.,empathic_support,simple_bias,0,"I'm struggling with loneliness after moving to a new city. My love interest has gotten away from me a bit, but things work as long as they're within a couple of pages. It all seems manageable. I really feel a kinship with her. I've always wanted someone who wouldn't hurt another, or have a fight with something about me; even","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",60,0.8833333333333333,1.0,1.0,0.0,0.1965909090909091,0.41363636363636364,,,,,
I'm struggling with loneliness after moving to a new city.,empathic_support,simple_bias,1,"I'm struggling with loneliness after moving to a new city. The worst part of living here is the fact that I love to get away because everything is so interesting. There are no distractions, no distraction in this situation. It's fun and the food is wonderful with every bit of food that I come up with. What I also recommend about living here is that","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",65,0.7538461538461538,0.953125,0.9841269841269841,0.015873015873015928,0.23939393939393938,0.6257575757575758,,,,,
I'm struggling with loneliness after moving to a new city.,empathic_support,simple_bias,2,"I'm struggling with loneliness after moving to a new city. It feels so natural to me,"" she told the group. ""If anything, my own loneliness feels more like my own fear that something else might happen. For every person that finds love and safety within a place—because of love, love means more than just the loneliness it entails.""

C","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",59,0.7966101694915254,0.9827586206896551,1.0,0.0,0.4373737373737374,0.6282828282828282,,,,,
I'm struggling with loneliness after moving to a new city.,empathic_support,simple_bias,3,"I'm struggling with loneliness after moving to a new city. It's pretty good, my family will always support you if you're close.

This kind of help will never ever be paid for by your income tax. But, this kind is a lot easier in cities, where I feel it is more of a responsibility. I've seen several cities where","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",59,0.864406779661017,0.9827586206896551,1.0,0.0,0.3980519480519481,0.6220779220779221,,,,,
