group1,group2,meandiff,p-adj,lower,upper,reject
baseline,cautious,-0.275,1.0,-2.2059,1.6559,False
baseline,creative,0.083,1.0,-1.8479,2.0139,False
baseline,creative_dynamic,-11.5937,0.0,-14.6804,-8.5069,True
baseline,creative_static,-7.627,0.0,-10.7137,-4.5403,True
baseline,empathic,0.229,1.0,-1.7019,2.1599,False
baseline,empathic_dynamic,-12.6803,0.0,-15.7671,-9.5936,True
baseline,empathic_static,-7.867,0.0,-10.9537,-4.7803,True
baseline,euphoric,-0.087,1.0,-2.0179,1.8439,False
baseline,high_adrenaline,-0.099,1.0,-2.0299,1.8319,False
baseline,high_cortisol,0.103,1.0,-1.8279,2.0339,False
baseline,high_dopamine,-0.157,1.0,-2.0879,1.7739,False
baseline,high_oxytocin,-0.505,1.0,-2.4359,1.4259,False
baseline,high_serotonin,-0.165,1.0,-2.0959,1.7659,False
baseline,neutral_dynamic,-11.7203,0.0,-14.8071,-8.6336,True
baseline,neutral_static,-7.127,0.0,-10.2137,-4.0403,True
baseline,stable,0.707,0.9986,-1.2239,2.6379,False
baseline,stressed,-1.673,0.1889,-3.6039,0.2579,False
cautious,creative,0.358,1.0,-1.8716,2.5876,False
cautious,creative_dynamic,-11.3187,0.0,-14.6006,-8.0368,True
cautious,creative_static,-7.352,0.0,-10.6339,-4.0701,True
cautious,empathic,0.504,1.0,-1.7256,2.7336,False
cautious,empathic_dynamic,-12.4053,0.0,-15.6872,-9.1234,True
cautious,empathic_static,-7.592,0.0,-10.8739,-4.3101,True
cautious,euphoric,0.188,1.0,-2.0416,2.4176,False
cautious,high_adrenaline,0.176,1.0,-2.0536,2.4056,False
cautious,high_cortisol,0.378,1.0,-1.8516,2.6076,False
cautious,high_dopamine,0.118,1.0,-2.1116,2.3476,False
cautious,high_oxytocin,-0.23,1.0,-2.4596,1.9996,False
cautious,high_serotonin,0.11,1.0,-2.1196,2.3396,False
cautious,neutral_dynamic,-11.4453,0.0,-14.7272,-8.1634,True
cautious,neutral_static,-6.852,0.0,-10.1339,-3.5701,True
cautious,stable,0.982,0.988,-1.2476,3.2116,False
cautious,stressed,-1.398,0.7618,-3.6276,0.8316,False
creative,creative_dynamic,-11.6767,0.0,-14.9586,-8.3948,True
creative,creative_static,-7.71,0.0,-10.9919,-4.4281,True
creative,empathic,0.146,1.0,-2.0836,2.3756,False
creative,empathic_dynamic,-12.7633,0.0,-16.0452,-9.4814,True
creative,empathic_static,-7.95,0.0,-11.2319,-4.6681,True
creative,euphoric,-0.17,1.0,-2.3996,2.0596,False
creative,high_adrenaline,-0.182,1.0,-2.4116,2.0476,False
creative,high_cortisol,0.02,1.0,-2.2096,2.2496,False
creative,high_dopamine,-0.24,1.0,-2.4696,1.9896,False
creative,high_oxytocin,-0.588,1.0,-2.8176,1.6416,False
creative,high_serotonin,-0.248,1.0,-2.4776,1.9816,False
creative,neutral_dynamic,-11.8033,0.0,-15.0852,-8.5214,True
creative,neutral_static,-7.21,0.0,-10.4919,-3.9281,True
creative,stable,0.624,1.0,-1.6056,2.8536,False
creative,stressed,-1.756,0.3467,-3.9856,0.4736,False
creative_dynamic,creative_static,3.9667,0.0662,-0.104,8.0373,False
creative_dynamic,empathic,11.8227,0.0,8.5408,15.1046,True
creative_dynamic,empathic_dynamic,-1.0867,1.0,-5.1573,2.984,False
creative_dynamic,empathic_static,3.7267,0.1208,-0.344,7.7973,False
creative_dynamic,euphoric,11.5067,0.0,8.2248,14.7886,True
creative_dynamic,high_adrenaline,11.4947,0.0,8.2128,14.7766,True
creative_dynamic,high_cortisol,11.6967,0.0,8.4148,14.9786,True
creative_dynamic,high_dopamine,11.4367,0.0,8.1548,14.7186,True
creative_dynamic,high_oxytocin,11.0887,0.0,7.8068,14.3706,True
creative_dynamic,high_serotonin,11.4287,0.0,8.1468,14.7106,True
creative_dynamic,neutral_dynamic,-0.1267,1.0,-4.1973,3.944,False
creative_dynamic,neutral_static,4.4667,0.0154,0.396,8.5373,True
creative_dynamic,stable,12.3007,0.0,9.0188,15.5826,True
creative_dynamic,stressed,9.9207,0.0,6.6388,13.2026,True
creative_static,empathic,7.856,0.0,4.5741,11.1379,True
