group1,group2,meandiff,p-adj,lower,upper,reject
baseline,cautious,-0.0088,0.0,-0.014,-0.0037,True
baseline,creative,-0.0067,0.0008,-0.0119,-0.0016,True
baseline,creative_dynamic,-0.0107,0.0008,-0.019,-0.0025,True
baseline,creative_static,-0.0032,0.9973,-0.0114,0.0051,False
baseline,empathic,-0.0035,0.6494,-0.0086,0.0017,False
baseline,empathic_dynamic,-0.0106,0.001,-0.0189,-0.0024,True
baseline,empathic_static,-0.0034,0.9936,-0.0117,0.0048,False
baseline,euphoric,-0.0084,0.0,-0.0135,-0.0032,True
baseline,high_adrenaline,0.0184,0.0,0.0132,0.0235,True
baseline,high_cortisol,-0.0089,0.0,-0.0141,-0.0038,True
baseline,high_dopamine,-0.0039,0.4318,-0.0091,0.0013,False
baseline,high_oxytocin,0.0016,0.9998,-0.0035,0.0068,False
baseline,high_serotonin,-0.005,0.0762,-0.0101,0.0002,False
baseline,neutral_dynamic,-0.0087,0.0253,-0.017,-0.0005,True
baseline,neutral_static,0.001,1.0,-0.0073,0.0092,False
baseline,stable,-0.0036,0.5579,-0.0088,0.0015,False
baseline,stressed,-0.0067,0.0008,-0.0119,-0.0016,True
cautious,creative,0.0021,0.9991,-0.0039,0.0081,False
cautious,creative_dynamic,-0.0019,1.0,-0.0107,0.0069,False
cautious,creative_static,0.0056,0.7266,-0.0031,0.0144,False
cautious,empathic,0.0053,0.1433,-0.0006,0.0113,False
cautious,empathic_dynamic,-0.0018,1.0,-0.0106,0.007,False
cautious,empathic_static,0.0054,0.7908,-0.0034,0.0142,False
cautious,euphoric,0.0004,1.0,-0.0055,0.0064,False
cautious,high_adrenaline,0.0272,0.0,0.0212,0.0331,True
cautious,high_cortisol,-0.0001,1.0,-0.0061,0.0059,False
cautious,high_dopamine,0.0049,0.2603,-0.001,0.0109,False
cautious,high_oxytocin,0.0104,0.0,0.0045,0.0164,True
cautious,high_serotonin,0.0039,0.7139,-0.0021,0.0098,False
cautious,neutral_dynamic,0.0001,1.0,-0.0087,0.0089,False
cautious,neutral_static,0.0098,0.0116,0.001,0.0186,True
cautious,stable,0.0052,0.1864,-0.0008,0.0111,False
cautious,stressed,0.0021,0.9992,-0.0039,0.0081,False
creative,creative_dynamic,-0.004,0.9829,-0.0128,0.0048,False
creative,creative_static,0.0035,0.9956,-0.0052,0.0123,False
creative,empathic,0.0032,0.9123,-0.0027,0.0092,False
creative,empathic_dynamic,-0.0039,0.987,-0.0127,0.0049,False
creative,empathic_static,0.0033,0.9981,-0.0055,0.0121,False
creative,euphoric,-0.0017,1.0,-0.0076,0.0043,False
