group1,group2,meandiff,p-adj,lower,upper,reject
baseline,cautious,0.0043,0.9998,-0.0092,0.0178,False
baseline,creative,0.0132,0.0649,-0.0003,0.0267,False
baseline,creative_dynamic,0.0322,0.0,0.016,0.0485,True
baseline,creative_static,0.012,0.4745,-0.0043,0.0282,False
baseline,empathic,0.0129,0.0805,-0.0006,0.0265,False
baseline,empathic_dynamic,0.0304,0.0,0.0142,0.0467,True
baseline,empathic_static,0.014,0.1973,-0.0023,0.0303,False
baseline,euphoric,0.0213,0.0,0.0078,0.0348,True
baseline,high_adrenaline,-0.0249,0.0,-0.0384,-0.0114,True
baseline,high_cortisol,0.0027,1.0,-0.0109,0.0162,False
baseline,high_dopamine,0.016,0.0049,0.0024,0.0295,True
baseline,high_oxytocin,-0.0025,1.0,-0.016,0.0111,False
baseline,high_serotonin,0.0082,0.8092,-0.0053,0.0217,False
baseline,neutral_dynamic,0.0208,0.0011,0.0046,0.0371,True
baseline,neutral_static,-0.008,0.9634,-0.0243,0.0083,False
baseline,stable,0.01,0.4634,-0.0035,0.0236,False
baseline,stressed,-0.0084,0.7667,-0.022,0.0051,False
cautious,creative,0.0089,0.8746,-0.0067,0.0245,False
cautious,creative_dynamic,0.0279,0.0,0.0099,0.046,True
cautious,creative_static,0.0077,0.9917,-0.0104,0.0257,False
cautious,empathic,0.0086,0.9014,-0.007,0.0242,False
cautious,empathic_dynamic,0.0261,0.0001,0.0081,0.0442,True
cautious,empathic_static,0.0097,0.9206,-0.0083,0.0277,False
cautious,euphoric,0.017,0.0172,0.0014,0.0326,True
cautious,high_adrenaline,-0.0292,0.0,-0.0448,-0.0136,True
cautious,high_cortisol,-0.0016,1.0,-0.0173,0.014,False
cautious,high_dopamine,0.0117,0.4476,-0.004,0.0273,False
cautious,high_oxytocin,-0.0068,0.99,-0.0224,0.0089,False
cautious,high_serotonin,0.0039,1.0,-0.0117,0.0195,False
cautious,neutral_dynamic,0.0165,0.1199,-0.0015,0.0346,False
cautious,neutral_static,-0.0123,0.6216,-0.0303,0.0057,False
cautious,stable,0.0057,0.9986,-0.0099,0.0213,False
cautious,stressed,-0.0128,0.2813,-0.0284,0.0029,False
creative,creative_dynamic,0.019,0.0264,0.001,0.0371,True
creative,creative_static,-0.0012,1.0,-0.0193,0.0168,False
creative,empathic,-0.0003,1.0,-0.0159,0.0153,False
creative,empathic_dynamic,0.0172,0.0809,-0.0008,0.0353,False
creative,empathic_static,0.0008,1.0,-0.0172,0.0188,False
creative,euphoric,0.0081,0.9407,-0.0075,0.0237,False
creative,high_adrenaline,-0.0381,0.0,-0.0537,-0.0225,True
creative,high_cortisol,-0.0105,0.6423,-0.0262,0.0051,False
creative,high_dopamine,0.0028,1.0,-0.0129,0.0184,False
