group1,group2,meandiff,p-adj,lower,upper,reject
baseline,cautious,-2.7558,1.0,-51.8787,46.3671,False
baseline,creative,7.5194,1.0,-41.6035,56.6424,False
baseline,creative_dynamic,895.2606,0.0,836.2222,954.299,True
baseline,creative_static,19.834,0.9995,-39.2044,78.8725,False
baseline,empathic,4.1849,1.0,-44.938,53.3079,False
baseline,empathic_dynamic,344.797,0.0,285.7585,403.8354,True
baseline,empathic_static,27.2731,0.9802,-31.7653,86.3115,False
baseline,euphoric,10.9163,1.0,-38.2066,60.0393,False
baseline,high_adrenaline,-4.7312,1.0,-53.8542,44.3917,False
baseline,high_cortisol,-2.3055,1.0,-51.4285,46.8174,False
baseline,high_dopamine,4.8687,1.0,-44.2542,53.9917,False
baseline,high_oxytocin,-0.1421,1.0,-49.265,48.9809,False
baseline,high_serotonin,2.8562,1.0,-46.2668,51.9791,False
baseline,neutral_dynamic,118.1724,0.0,59.134,177.2109,True
baseline,neutral_static,20.723,0.9992,-38.3155,79.7614,False
baseline,stable,2.9839,1.0,-46.139,52.1069,False
baseline,stressed,-4.9826,1.0,-54.1055,44.1404,False
cautious,creative,10.2752,1.0,-46.447,66.9975,False
cautious,creative_dynamic,898.0164,0.0,832.5192,963.5137,True
cautious,creative_static,22.5898,0.9993,-42.9074,88.0871,False
cautious,empathic,6.9407,1.0,-49.7816,63.663,False
cautious,empathic_dynamic,347.5528,0.0,282.0555,413.05,True
cautious,empathic_static,30.0289,0.9816,-35.4683,95.5262,False
cautious,euphoric,13.6722,1.0,-43.0501,70.3944,False
cautious,high_adrenaline,-1.9754,1.0,-58.6977,54.7469,False
cautious,high_cortisol,0.4503,1.0,-56.272,57.1726,False
cautious,high_dopamine,7.6245,1.0,-49.0977,64.3468,False
cautious,high_oxytocin,2.6137,1.0,-54.1086,59.336,False
cautious,high_serotonin,5.612,1.0,-51.1103,62.3343,False
cautious,neutral_dynamic,120.9282,0.0,55.431,186.4255,True
cautious,neutral_static,23.4788,0.9989,-42.0185,88.976,False
cautious,stable,5.7397,1.0,-50.9825,62.462,False
cautious,stressed,-2.2267,1.0,-58.949,54.4955,False
creative,creative_dynamic,887.7412,0.0,822.2439,953.2384,True
creative,creative_static,12.3146,1.0,-53.1827,77.8119,False
creative,empathic,-3.3345,1.0,-60.0568,53.3878,False
creative,empathic_dynamic,337.2775,0.0,271.7803,402.7748,True
creative,empathic_static,19.7537,0.9999,-45.7436,85.2509,False
creative,euphoric,3.3969,1.0,-53.3254,60.1192,False
creative,high_adrenaline,-12.2507,1.0,-68.973,44.4716,False
creative,high_cortisol,-9.825,1.0,-66.5472,46.8973,False
creative,high_dopamine,-2.6507,1.0,-59.373,54.0716,False
creative,high_oxytocin,-7.6615,1.0,-64.3838,49.0608,False
creative,high_serotonin,-4.6633,1.0,-61.3855,52.059,False
creative,neutral_dynamic,110.653,0.0,45.1557,176.1503,True
creative,neutral_static,13.2035,1.0,-52.2937,78.7008,False
creative,stable,-4.5355,1.0,-61.2578,52.1868,False
creative,stressed,-12.502,1.0,-69.2243,44.2203,False
creative_dynamic,creative_static,-875.4266,0.0,-948.6547,-802.1984,True
creative_dynamic,empathic,-891.0757,0.0,-956.5729,-825.5784,True
creative_dynamic,empathic_dynamic,-550.4637,0.0,-623.6918,-477.2355,True
creative_dynamic,empathic_static,-867.9875,0.0,-941.2157,-794.7593,True
creative_dynamic,euphoric,-884.3443,0.0,-949.8415,-818.847,True
creative_dynamic,high_adrenaline,-899.9919,0.0,-965.4891,-834.4946,True
creative_dynamic,high_cortisol,-897.5661,0.0,-963.0634,-832.0689,True
creative_dynamic,high_dopamine,-890.3919,0.0,-955.8891,-824.8946,True
creative_dynamic,high_oxytocin,-895.4027,0.0,-960.9,-829.9054,True
creative_dynamic,high_serotonin,-892.4044,0.0,-957.9017,-826.9072,True
creative_dynamic,neutral_dynamic,-777.0882,0.0,-850.3163,-703.86,True
creative_dynamic,neutral_static,-874.5377,0.0,-947.7658,-801.3095,True
creative_dynamic,stable,-892.2767,0.0,-957.7739,-826.7794,True
creative_dynamic,stressed,-900.2432,0.0,-965.7404,-834.7459,True
creative_static,empathic,-15.6491,1.0,-81.1464,49.8481,False
creative_static,empathic_dynamic,324.9629,0.0,251.7348,398.1911,True
creative_static,empathic_static,7.4391,1.0,-65.7891,80.6672,False
creative_static,euphoric,-8.9177,1.0,-74.4149,56.5796,False
creative_static,high_adrenaline,-24.5653,0.9981,-90.0625,40.932,False
creative_static,high_cortisol,-22.1396,0.9995,-87.6368,43.3577,False
creative_static,high_dopamine,-14.9653,1.0,-80.4626,50.532,False
creative_static,high_oxytocin,-19.9761,0.9999,-85.4734,45.5211,False
creative_static,high_serotonin,-16.9779,1.0,-82.4751,48.5194,False
creative_static,neutral_dynamic,98.3384,0.0004,25.1102,171.5666,True
creative_static,neutral_static,0.8889,1.0,-72.3392,74.1171,False
creative_static,stable,-16.8501,1.0,-82.3473,48.6472,False
creative_static,stressed,-24.8166,0.9978,-90.3138,40.6807,False
empathic,empathic_dynamic,340.612,0.0,275.1148,406.1093,True
empathic,empathic_static,23.0882,0.9991,-42.4091,88.5854,False
empathic,euphoric,6.7314,1.0,-49.9909,63.4537,False
empathic,high_adrenaline,-8.9162,1.0,-65.6384,47.8061,False
empathic,high_cortisol,-6.4904,1.0,-63.2127,50.2318,False
empathic,high_dopamine,0.6838,1.0,-56.0385,57.4061,False
empathic,high_oxytocin,-4.327,1.0,-61.0493,52.3953,False
empathic,high_serotonin,-1.3287,1.0,-58.051,55.3935,False
empathic,neutral_dynamic,113.9875,0.0,48.4903,179.4848,True
empathic,neutral_static,16.538,1.0,-48.9592,82.0353,False
empathic,stable,-1.201,1.0,-57.9233,55.5213,False
empathic,stressed,-9.1675,1.0,-65.8898,47.5548,False
empathic_dynamic,empathic_static,-317.5238,0.0,-390.752,-244.2957,True
empathic_dynamic,euphoric,-333.8806,0.0,-399.3779,-268.3834,True
empathic_dynamic,high_adrenaline,-349.5282,0.0,-415.0254,-284.0309,True
