group1,group2,meandiff,p-adj,lower,upper,reject
baseline,cautious,-0.0002,1.0,-0.0633,0.0628,False
baseline,creative,-0.0034,1.0,-0.0664,0.0596,False
baseline,creative_dynamic,-0.0548,0.5118,-0.1305,0.021,False
baseline,creative_static,-0.0146,1.0,-0.0903,0.0612,False
baseline,empathic,0.014,1.0,-0.049,0.0771,False
baseline,empathic_dynamic,-0.0146,1.0,-0.0903,0.0612,False
baseline,empathic_static,0.0478,0.7521,-0.028,0.1235,False
baseline,euphoric,-0.0006,1.0,-0.0636,0.0625,False
baseline,high_adrenaline,0.0005,1.0,-0.0626,0.0635,False
baseline,high_cortisol,0.0295,0.9775,-0.0335,0.0925,False
baseline,high_dopamine,-0.0012,1.0,-0.0642,0.0618,False
baseline,high_oxytocin,0.0402,0.736,-0.0228,0.1032,False
baseline,high_serotonin,-0.0193,0.9999,-0.0823,0.0437,False
baseline,neutral_dynamic,-0.0414,0.9094,-0.1171,0.0344,False
baseline,neutral_static,0.019,1.0,-0.0567,0.0948,False
baseline,stable,-0.0038,1.0,-0.0668,0.0593,False
baseline,stressed,0.0267,0.9922,-0.0364,0.0897,False
cautious,creative,-0.0032,1.0,-0.076,0.0696,False
cautious,creative_dynamic,-0.0545,0.7085,-0.1386,0.0295,False
cautious,creative_static,-0.0143,1.0,-0.0984,0.0697,False
cautious,empathic,0.0143,1.0,-0.0585,0.087,False
cautious,empathic_dynamic,-0.0143,1.0,-0.0984,0.0697,False
cautious,empathic_static,0.048,0.8719,-0.036,0.1321,False
cautious,euphoric,-0.0003,1.0,-0.0731,0.0724,False
cautious,high_adrenaline,0.0007,1.0,-0.0721,0.0735,False
cautious,high_cortisol,0.0297,0.9947,-0.0431,0.1025,False
cautious,high_dopamine,-0.001,1.0,-0.0737,0.0718,False
cautious,high_oxytocin,0.0404,0.8967,-0.0324,0.1132,False
cautious,high_serotonin,-0.0191,1.0,-0.0919,0.0537,False
cautious,neutral_dynamic,-0.0411,0.9651,-0.1252,0.0429,False
cautious,neutral_static,0.0193,1.0,-0.0648,0.1033,False
cautious,stable,-0.0035,1.0,-0.0763,0.0693,False
cautious,stressed,0.0269,0.9984,-0.0459,0.0997,False
creative,creative_dynamic,-0.0513,0.7969,-0.1354,0.0327,False
creative,creative_static,-0.0111,1.0,-0.0952,0.0729,False
creative,empathic,0.0175,1.0,-0.0553,0.0902,False
creative,empathic_dynamic,-0.0112,1.0,-0.0952,0.0729,False
creative,empathic_static,0.0512,0.8,-0.0328,0.1352,False
creative,euphoric,0.0029,1.0,-0.0699,0.0756,False
creative,high_adrenaline,0.0039,1.0,-0.0689,0.0767,False
creative,high_cortisol,0.0329,0.9841,-0.0399,0.1057,False
creative,high_dopamine,0.0022,1.0,-0.0705,0.075,False
creative,high_oxytocin,0.0436,0.821,-0.0292,0.1164,False
creative,high_serotonin,-0.0159,1.0,-0.0887,0.0569,False
creative,neutral_dynamic,-0.038,0.9843,-0.122,0.0461,False
creative,neutral_static,0.0225,1.0,-0.0616,0.1065,False
creative,stable,-0.0003,1.0,-0.0731,0.0724,False
creative,stressed,0.0301,0.9939,-0.0427,0.1029,False
creative_dynamic,creative_static,0.0402,0.9912,-0.0538,0.1341,False
creative_dynamic,empathic,0.0688,0.2774,-0.0152,0.1528,False
creative_dynamic,empathic_dynamic,0.0402,0.9912,-0.0538,0.1341,False
creative_dynamic,empathic_static,0.1025,0.0166,0.0086,0.1965,True
creative_dynamic,euphoric,0.0542,0.7181,-0.0298,0.1382,False
creative_dynamic,high_adrenaline,0.0552,0.6879,-0.0288,0.1392,False
creative_dynamic,high_cortisol,0.0842,0.0487,0.0002,0.1683,True
creative_dynamic,high_dopamine,0.0536,0.7365,-0.0305,0.1376,False
creative_dynamic,high_oxytocin,0.0949,0.01,0.0109,0.179,True
creative_dynamic,high_serotonin,0.0354,0.9924,-0.0486,0.1195,False
creative_dynamic,neutral_dynamic,0.0134,1.0,-0.0806,0.1073,False
creative_dynamic,neutral_static,0.0738,0.3512,-0.0202,0.1677,False
creative_dynamic,stable,0.051,0.8052,-0.033,0.135,False
creative_dynamic,stressed,0.0814,0.0703,-0.0026,0.1655,False
creative_static,empathic,0.0286,0.9994,-0.0554,0.1126,False
creative_static,empathic_dynamic,-0.0,1.0,-0.094,0.0939,False
creative_static,empathic_static,0.0624,0.6707,-0.0316,0.1563,False
creative_static,euphoric,0.014,1.0,-0.07,0.098,False
creative_static,high_adrenaline,0.015,1.0,-0.069,0.0991,False
creative_static,high_cortisol,0.044,0.9356,-0.04,0.1281,False
creative_static,high_dopamine,0.0134,1.0,-0.0707,0.0974,False
creative_static,high_oxytocin,0.0548,0.7016,-0.0293,0.1388,False
creative_static,high_serotonin,-0.0047,1.0,-0.0888,0.0793,False
creative_static,neutral_dynamic,-0.0268,0.9999,-0.1208,0.0671,False
creative_static,neutral_static,0.0336,0.9989,-0.0603,0.1276,False
creative_static,stable,0.0108,1.0,-0.0732,0.0949,False
creative_static,stressed,0.0412,0.9643,-0.0428,0.1253,False
empathic,empathic_dynamic,-0.0286,0.9994,-0.1126,0.0554,False
empathic,empathic_static,0.0338,0.9956,-0.0503,0.1178,False
empathic,euphoric,-0.0146,1.0,-0.0874,0.0582,False
empathic,high_adrenaline,-0.0136,1.0,-0.0863,0.0592,False
empathic,high_cortisol,0.0155,1.0,-0.0573,0.0882,False
empathic,high_dopamine,-0.0152,1.0,-0.088,0.0576,False
empathic,high_oxytocin,0.0262,0.9989,-0.0466,0.0989,False
empathic,high_serotonin,-0.0333,0.9817,-0.1061,0.0394,False
empathic,neutral_dynamic,-0.0554,0.6821,-0.1394,0.0286,False
empathic,neutral_static,0.005,1.0,-0.079,0.089,False
empathic,stable,-0.0178,1.0,-0.0906,0.055,False
empathic,stressed,0.0126,1.0,-0.0601,0.0854,False
empathic_dynamic,empathic_static,0.0624,0.6704,-0.0316,0.1563,False
empathic_dynamic,euphoric,0.014,1.0,-0.07,0.0981,False
empathic_dynamic,high_adrenaline,0.015,1.0,-0.069,0.0991,False
empathic_dynamic,high_cortisol,0.0441,0.9354,-0.04,0.1281,False
empathic_dynamic,high_dopamine,0.0134,1.0,-0.0706,0.0974,False
empathic_dynamic,high_oxytocin,0.0548,0.7013,-0.0293,0.1388,False
empathic_dynamic,high_serotonin,-0.0047,1.0,-0.0888,0.0793,False
empathic_dynamic,neutral_dynamic,-0.0268,0.9999,-0.1207,0.0672,False
empathic_dynamic,neutral_static,0.0336,0.9989,-0.0603,0.1276,False
empathic_dynamic,stable,0.0108,1.0,-0.0732,0.0949,False
empathic_dynamic,stressed,0.0412,0.9642,-0.0428,0.1253,False
empathic_static,euphoric,-0.0483,0.8654,-0.1324,0.0357,False
empathic_static,high_adrenaline,-0.0473,0.8849,-0.1314,0.0367,False
empathic_static,high_cortisol,-0.0183,1.0,-0.1023,0.0657,False
empathic_static,high_dopamine,-0.049,0.8522,-0.133,0.0351,False
empathic_static,high_oxytocin,-0.0076,1.0,-0.0916,0.0764,False
empathic_static,high_serotonin,-0.0671,0.3209,-0.1511,0.0169,False
empathic_static,neutral_dynamic,-0.0892,0.0865,-0.1831,0.0048,False
empathic_static,neutral_static,-0.0287,0.9999,-0.1227,0.0652,False
empathic_static,stable,-0.0515,0.7917,-0.1356,0.0325,False
empathic_static,stressed,-0.0211,1.0,-0.1052,0.0629,False
euphoric,high_adrenaline,0.001,1.0,-0.0718,0.0738,False
euphoric,high_cortisol,0.03,0.9941,-0.0427,0.1028,False
euphoric,high_dopamine,-0.0006,1.0,-0.0734,0.0721,False
euphoric,high_oxytocin,0.0407,0.8901,-0.032,0.1135,False
euphoric,high_serotonin,-0.0188,1.0,-0.0915,0.054,False
euphoric,neutral_dynamic,-0.0408,0.9676,-0.1249,0.0432,False
euphoric,neutral_static,0.0196,1.0,-0.0644,0.1036,False
euphoric,stable,-0.0032,1.0,-0.076,0.0696,False
euphoric,stressed,0.0272,0.9981,-0.0456,0.1,False
high_adrenaline,high_cortisol,0.029,0.996,-0.0437,0.1018,False
high_adrenaline,high_dopamine,-0.0016,1.0,-0.0744,0.0711,False
high_adrenaline,high_oxytocin,0.0397,0.9097,-0.033,0.1125,False
high_adrenaline,high_serotonin,-0.0198,1.0,-0.0925,0.053,False
high_adrenaline,neutral_dynamic,-0.0418,0.9593,-0.1259,0.0422,False
high_adrenaline,neutral_static,0.0186,1.0,-0.0654,0.1026,False
high_adrenaline,stable,-0.0042,1.0,-0.077,0.0686,False
high_adrenaline,stressed,0.0262,0.9988,-0.0466,0.099,False
high_cortisol,high_dopamine,-0.0307,0.9925,-0.1034,0.0421,False
high_cortisol,high_oxytocin,0.0107,1.0,-0.0621,0.0835,False
high_cortisol,high_serotonin,-0.0488,0.653,-0.1216,0.024,False
high_cortisol,neutral_dynamic,-0.0709,0.2289,-0.1549,0.0132,False
high_cortisol,neutral_static,-0.0104,1.0,-0.0945,0.0736,False
high_cortisol,stable,-0.0332,0.9824,-0.106,0.0395,False
high_cortisol,stressed,-0.0028,1.0,-0.0756,0.07,False
high_dopamine,high_oxytocin,0.0414,0.8766,-0.0314,0.1142,False
high_dopamine,high_serotonin,-0.0181,1.0,-0.0909,0.0546,False
high_dopamine,neutral_dynamic,-0.0402,0.9721,-0.1242,0.0438,False
high_dopamine,neutral_static,0.0202,1.0,-0.0638,0.1043,False
high_dopamine,stable,-0.0026,1.0,-0.0753,0.0702,False
high_dopamine,stressed,0.0279,0.9975,-0.0449,0.1006,False
high_oxytocin,high_serotonin,-0.0595,0.2792,-0.1323,0.0133,False
high_oxytocin,neutral_dynamic,-0.0816,0.069,-0.1656,0.0025,False
high_oxytocin,neutral_static,-0.0211,1.0,-0.1052,0.0629,False
high_oxytocin,stable,-0.0439,0.8118,-0.1167,0.0288,False
high_oxytocin,stressed,-0.0135,1.0,-0.0863,0.0593,False
high_serotonin,neutral_dynamic,-0.0221,1.0,-0.1061,0.062,False
high_serotonin,neutral_static,0.0384,0.9824,-0.0457,0.1224,False
high_serotonin,stable,0.0156,1.0,-0.0572,0.0883,False
high_serotonin,stressed,0.046,0.7498,-0.0268,0.1188,False
neutral_dynamic,neutral_static,0.0604,0.7229,-0.0335,0.1544,False
neutral_dynamic,stable,0.0376,0.9856,-0.0464,0.1217,False
neutral_dynamic,stressed,0.068,0.2962,-0.016,0.1521,False
neutral_static,stable,-0.0228,1.0,-0.1068,0.0612,False
neutral_static,stressed,0.0076,1.0,-0.0764,0.0917,False
stable,stressed,0.0304,0.9932,-0.0424,0.1032,False
