,count,unique,top,freq,mean,std,min,25%,50%,75%,max
experiment,3320,3,phase2,1400,,,,,,,
prompt,3320,40,I'm feeling anxious about my future and don't know what to do.,83,,,,,,,
profile_name,3320,18,baseline,400,,,,,,,
generated_text,3320,3259,Explain the process of how vaccines work in the human body.,9,,,,,,,
length,3320.0,,,,55.13614457831325,12.726388763917004,4.0,52.0,58.0,62.0,78.0
distinct_1,3320.0,,,,0.7983803677572405,0.09212714988165965,0.2222222222222222,0.7450980392156863,0.796875,0.8546187683284457,1.0
distinct_2,3320.0,,,,0.972406476398292,0.04650278998671235,0.25,0.9636363636363636,0.9833333333333332,1.0,1.0
distinct_3,3320.0,,,,0.9922104944906416,0.03515478131582738,0.2545454545454545,1.0,1.0,1.0,1.0
repetition_rate,3320.0,,,,0.007789505509358508,0.03515478131582732,0.0,0.0,0.0,0.0,0.7454545454545455
sentiment_polarity,3320.0,,,,0.14158400896584186,0.20285448652342858,-0.6666666666666666,0.0,0.1333333333333333,0.2558008658008657,1.0
sentiment_subjectivity,3320.0,,,,0.4795811212328428,0.1975201197135874,0.0,0.3571428571428571,0.48125,0.6051388888888889,1.0
generation_idx,3320.0,,,,1.783132530120482,1.3715852085226972,0.0,1.0,2.0,3.0,4.0
perplexity,3320.0,,,,69.47683254480361,239.45838481385465,2.8719587326049805,13.769434452056883,18.63149929046631,26.306128025054935,3669.103515625
rouge_l,2600.0,,,,0.3324784528124474,0.12425444586739343,0.123076923076923,0.2777777777777777,0.3055555555555556,0.3544303797468354,1.0
entropy,2600.0,,,,3.610408293375602,0.35771829662482346,2.067826986312866,3.3740222454071045,3.596430540084839,3.8254162669181824,6.032467365264893
is_dynamic,720,2,True,360,,,,,,,
learning_rate,720.0,,,,0.065,0.06581044977073486,0.0,0.0,0.06,0.12,0.15
init_dopamine,720.0,,,,0.6666666666666667,0.17008547307224373,0.5,0.5,0.6,0.9,0.9
init_cortisol,720.0,,,,0.4,0.08170641837636948,0.3,0.3,0.4,0.5,0.5
init_oxytocin,720.0,,,,0.6333333333333333,0.18869289057646776,0.5,0.5,0.5,0.9,0.9
init_adrenaline,720.0,,,,0.5,0.0817064183763688,0.4,0.4,0.5,0.6,0.6
init_serotonin,720.0,,,,0.5666666666666667,0.09434644528823442,0.5,0.5,0.5,0.7,0.7
final_dopamine,720.0,,,,0.6520883333333332,0.1699116634680376,0.4549999999999999,0.5,0.6,0.8639999999999995,0.9
final_cortisol,720.0,,,,0.40843958333333336,0.07543243549878365,0.3,0.348,0.4,0.5,0.56
final_oxytocin,720.0,,,,0.6333333333333333,0.18869289057646776,0.5,0.5,0.5,0.9,0.9
final_adrenaline,720.0,,,,0.49269999999999997,0.07419303169915659,0.4,0.4,0.5,0.5519999999999997,0.6
final_serotonin,720.0,,,,0.5887400000000002,0.09660342550444728,0.4159999999999999,0.5,0.5480000000000003,0.7,0.7480000000000002
delta_dopamine,720.0,,,,-0.014578333333333447,0.017444163335980124,-0.045,-0.036,0.0,0.0,0.0554999999999996
delta_cortisol,720.0,,,,0.008439583333333335,0.02429099267790765,-0.0675,0.0,0.0,0.0,0.1200000000000001
delta_oxytocin,720.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_adrenaline,720.0,,,,-0.0073000000000000296,0.017049860611473008,-0.0480000000000002,0.0,0.0,0.0,0.0
delta_serotonin,720.0,,,,0.022073333333333393,0.02599527848431439,-0.084,0.0,0.0,0.0480000000000002,0.06
total_hormone_change,720.0,,,,0.05482458333333358,0.06836695407957177,0.0,0.0,0.0,0.096,0.242400000000001
prompt_category,720,5,creative_writing,144,,,,,,,
